id,title,Ingredients,Directions,numberofsteps,recipe_id
2659,Mushroom Stew,"
* 1/2&amp;nbsp;lb [[Mushroom]]s
* 1 1/2 pt [[milk]]
* 2 oz [[butter]]
* 2 oz [[flour]]
* 1/2 tsp Grated [[lemon]] rind
* [[cream]]
","== Directions ==
# Cut the stems of the [[Mushroom]]s and peel the heads. Clean thoroughly and slice.
# Cook [[Mushroom]]s gently in hot [[butter]] for 5 minutes.
# Mix in the [[flour]] thoroughly then stir whilst adding [[milk]].
# Cook at low heat until the soup is smooth and thick.
# Add [[salt]] and [[pepper]] to taste.
# Mix the grated [[lemon peel]] with a little [[whipped cream]] and place a blob on the soup after it has been poured into bowls.
",6,19
2663,Tinned Toheroa Soup,"=
* 1 tin Toheroas 
* 1 pt [[milk]] 
* 1 pt [[cream]] 
","== Directions ==
# Boil the heads in [[water]] for 15-20 minutes with [[salt]] and [[pepper]] added to taste.
# Strain and add minced toheroas from can to the stock and a little grated [[Onion]].
# Simmer gently for 15 minutes and add [[milk]].
# Thicken with a little [[flour]] and [[water]] paste.
# Whip the [[cream]] and add just before serving.
 
== See also ==
",5,20
2684,Flavour Enhancer Bouquet Garni for Soups,"
* green part of fresh [[leek]]s, as required
* 1 sprig fresh [[rosemary]]
* 1 sprig fresh [[thyme]]
* 3 stalks fresh [[parsley]] 
","== Directions ==
# Tie all the herbs together with a string.
# Then, hang the herbs into the soup or any other dish which is being slow-cooked.
# Tie the loose end of the string to the handle of the pan.
# Note: alternatively, you can tie the herbs in a muslin cloth.
# Enjoy the extra awesome burst of flavour this will provide to your soup! 
",5,21
2794,Shrimp Appetizers,"
* 1 lb jumbo [[shrimp]], peeled and deveined 
* å_ cup chopped fresh [[parsley]] or [[cilantro]] 
* å_ cup [[olive oil]] 
* 2 tablespoons finely grated fresh [[lemon]] rind 
* 3 cloves [[garlic]], minced (or more) 
","== Directions ==
# Toss everything together in a bowl and marinate up to 4 hours in fridge. 
# Heat skillet over high heat. 
# Add half the [[shrimp]]. 
# Cook turning once about 2 minutes or until [[shrimp]] are pink. 
# Repeat with other half. 
# Serve either hot or cold.
",6,22
2833,Beef Kefta,"
* 1 1/2 pounds ground [[Beef]]
* 1/2 cup grated [[Onion]]
* 2 cloves [[garlic]], minced
* 2 tablespoons chopped fresh [[parsley]]
* 1 teaspoon dried [[mint]], crumbled
* [[salt]]
* [[black pepper]]
* 1/2 teaspoon ground [[cumin]]
* 1/2 teaspoon Spanish [[paprika]]
* 1/4 teaspoon [[cayenne pepper]]
","== Directions ==
# Mix the [[Beef]], [[Onion]], [[garlic]], [[parsley]], coriander, [[mint]], [[salt]], [[pepper]], [[cumin]], [[paprika]] and [[Cayenne]] in a large bowl, making sure the mixture is even.
# Cover the bowl and let it sit for one hour whilst soaking 12 wooden skewers in [[water]].
# Preheat the grill so it is hot when needed.
# Shape about a 1/3 cup of the meat mixture into 2 sausages and put onto a soaked wooden skewer. Dampen your hands first so the meat does not stick to them. Do this until the mixture is used up.
# Grill them on one side until golden brown and turn over. Leave them for about 3 to 4 minutes per side.
# Serve immediately whilst piping hot.
Recipe serves 6.
__NOTOC__
",6,23
2910,Dal-gyal Mal-e,"
* 6 [[egg]]s
* 5 tblsp. [[water]]
* 1/2 tsp. [[salt]] 
* 1/2 tsp. [[Granulated sugar|Sugar]] 
* [[vegetable oil]]
","== Directions ==
# Stir [[egg]]s and add [[salt]] and [[Granulated sugar|Sugar]]. 
# Fry 2/3 of egg mixture on a heated oily pan. 
# Turn it over 3 or 4 times until it's almost cooked and then push it to a corner of the pan.
# Pour a few more drops of [[oil]] on the pan. Pour the rest of the egg mixture and repeat the process again. 
# When it's completely cooked, cut it up and serve on a warm plate.
__NOTOC__
",5,24
2955,Lemon Olives,"
* 1 jar mixed * 3 tablespoons chopped fresh [[cilantro]]
* 3 tablespoons chopped [[parsley]]
* å_ clove [[garlic]], minced
* å_ teaspoon [[cayenne pepper]]
* å_ teaspoon ground [[cumin]]
* 2 tablespoons [[olive oil]]
* 2 ‰ÛÒ 3 tablespoons fresh [[lemon juice]]
","== Directions ==
# Firstly, tip the contents out of the jar and thoroughly drain the . Put them in cold [[water]] overnight in a cool place so any extra flavor is removed.
# Drain the again and mix the [[cilantro]], [[parsley]], [[garlic]], [[cayenne pepper]], [[cumin]], [[olive oil]] and [[lemon juice]] together with the .
# Put the and the marinade back into the jar and refrigerate for at least a week before opening again.
# Yum!
",4,25
2994,Moroccan Pepper Sauce,"
* 2 tablespoons [[cayenne pepper]] 
* 1 tablespoon ground [[cumin]] 
* 2 cloves [[garlic]], peeled 
* å_ teaspoon [[salt]] 
* 1 cup [[olive oil]] 
","== Directions ==
# Blend the spices, [[garlic]], and [[salt]] together until they begin to form a paste. 
# Heat the [[olive oil]] in a pan and, when it is hot, add the spice mixture. 
# Cook on a medium heat for about 5 minutes. Make sure to stir it because it will begin to burn. 
# As soon as it is off the heat, it is ready to serve.
",4,26
3035,Sour Cream Apple Strudel,"
=== Pastry crust ===
* 1 cup cold [[butter]]
* 2 cups [[flour]]
* 8 ounces [[sour cream]]
* å_ teaspoon [[salt]] 
=== Apple filling ===
* 2 cups plain [[breadcrumbs]]
* å_ cup [[butter]], melted
* 4 baking [[apple]]s, peeled and chopped
* 1 cup [[granulated sugar|sugar]]
* 2 teaspoons ground [[cinnamon]]
","== Directions ==
=== Pastry crust ===
# Cut chilled [[butter]] into [[flour]] until mixture resembles coarse crumbs; add [[sour cream]] and [[salt]], mixing well.
# Shape dough into ball, wrap in plastic wrap, and refrigerate overnight.
=== Apple filling ===
# Combine breadcrumbs and melted [[butter]]; add [[apple]]s, [[granulated sugar|sugar]], and [[cinnamon]], mixing well.
# Divide chilled dough into thirds and turn onto floured surface; roll each portion into 15x12 inch rectangle.
# Spoon filling evenly onto each piece of dough and spread to within 1 inch of edges.
# Roll dough up from one long side, and pinch seams and ends to seal.
# Place the three strudels seam side down on a baking sheet or in a large baking dish.
# Bake at 350å¡F for 55 ‰ÛÒ 60 minutes, or until light brown.
__NOTOC__
",8,27
3107,Belgian Loaf,"
* 1 cup [[granulated sugar|sugar]] 
* 1 cup [[raisins]] 
* 1 cup [[milk]] 
* å_ lb [[shortening]] 
* 1 [[egg]] 
* 1 cup + 1 cup [[flour]] 
* å_ tsp [[salt]] 
* å_ tsp [[baking powder]] 
* å_ tsp [[baking soda]] 
","== Directions ==
# In saucepan put first 4 ingredients and bring to a boil, cool. 
# Then stir in 1 [[egg]], then the dry ingredients except 1 cup of the flour. 
# Mix in the 2nd. cup of [[flour]]. 
# Bake at 350å¡F for 45 minutes.
",4,28
3168,Tomatensalat I,"
* 5 [[tomato]]es
* 1 [[onion]]s
* [[vegetable oil]]
* [[oregano]]
* salt
* thyme
* basil
* 6 tbs. vinegar
* 1 tbs. worcestershire sauce
* 1 tbs. sugar
* 1/4 ts. fresh ground peper
","== Directions ==
# Very thinly slice the [[tomato]]es and the [[onion]]s (the thinner the better).
# Alternately layer [[tomato]]es and [[onion]]s, sprinkling each layer of [[tomato]]es with a little [[salt]] a dash of [[oregano]].
# Add just a bit of [[oil]] on top to finish.
# Serve on individual salad plates.
# Sprinkle a bit of [[oil]] around the outer edges of the salad, and garnish with a sprinkling of [[oregano]].
",5,29
3253,Carrot Kuchumber,"
* 500g [[carrot]]s, peeled &amp; grated
* 100g [[peanut]]s, roasted
* 6 green chilies, chopped finely
* 1 [[onion]], chopped
* 1 [[lime]]
* [[cilantro]] for garnishing
* [[salt]] to taste
","== Directions ==
# Remove the skin from [[peanut]]s and blend them for 2‰ÛÒ3 seconds. Remember that the [[peanut]]s should not be blended to a fine powder.
# Add the blended [[peanut]]s to the grated [[carrot]]s and mix well.
# Also add finely chopped green chilies, [[cilantro]], [[salt]] and [[lime juice]] to the [[carrot]]s mixture and mix well.
# Allow this mixture in the refrigerator for 10‰ÛÒ15 minutes.
",4,30
3260,Mom's Chicken and Dumplings,"
* 4 lbs [[chicken]] thighs, skin removed (boneless thighs if you can find them)
* [[water]]
* 2 small [[onion]]s, chopped
* 1 tablespoon [[butter]] '''or''' [[oil]]
* å_ teaspoon [[garlic powder]]
* 1 teaspoon [[salt]]
* å_ teaspoon [[black pepper]]
* 1 tablespoon [[paprika]]
=== Dumplings ===
* 2 cups [[flour|all-purpose flour]]
* å_ teaspoon [[salt]]
* å_ teaspoon [[black pepper]]
* 1 teaspoon [[paprika]]
* 1 large [[egg]], beaten
* [[water]]
","== Directions ==
# In a stock pot or dutch oven saute [[onion]]s in [[butter]] until tender.
# Add [[water]] until pot is about ‰ÉÒ full.
# Add [[chicken]] thighs, [[garlic powder]], [[salt]], [[pepper]] and [[paprika]].
# Make sure [[water]] is covering the [[chicken]], if not add more until it just covers.
# Bring to a boil and then simmer for 90 minutes.
=== Dumplings ===
# In the meantime, make the dumplings: mix the [[flour]], [[salt]], [[pepper]] and [[paprika]] in a medium bowl until combined.
# Make a well in the center and drop in the [[egg]] and about å_ cup [[water]].
# Stir and add more [[water]] by the tablespoon until you have a sticky dough that just leaves the side of the bowl.
# In a different large pot from [[chicken]], boil [[water]].
# Drop dumpling mixture by the teaspoon into the boiling [[water]]. (I use a regular teaspoon from my flatware, not a measuring spoon). If dumpling mix is too sticky to drop from spoon, then dip the spoon into the boiling [[water]], the dumpling should slide right off.
# When dumplings start floating on top, remove them with a slotted spoon or drain them.
# You may have to reduce the heat to see when they are floating.
# About 30 minutes before [[chicken]] should be done, add the dumplings to the pot with the [[chicken]].
# After 30 minutes, you should have a delicious dish.
# The [[chicken]] should be tender enough that it is falling off of the bone and the dumplings should have made a thicker sauce out of the liquid the [[chicken]] was cooking in.
",15,31
3276,Italian Dipping Oil,"
* å_ cup [[olive oil]]
* å_ cup fresh [[basil]], washed,dried and chopped
* 4 cloves [[garlic]], minced
* ‰ÉÝ teaspoon [[black pepper]]
","== Directions ==
# Pour [[olive oil]] into a shallow bowl.
# Add [[basil]], [[garlic]] and [[pepper]].
# Stir with a spoon to evenly distribute ingredients.
# Serve with warm bread.
== Notes ==
* Use a good quality [[olive oil]] and fresh [[basil]] and [[garlic]] for best results.
* More [[garlic]] can be added if desired.
__NOTOC__
",4,32
3311,Potato and Onion Pancakes,"
* 3 large [[potato]]es 
* 1 medium [[Onion]] 
* 2 tablespoons [[flour]] 
* 1 [[egg]] 
* [[salt]] and [[pepper]] 
* [[oil]] (for frying) 
","== Directions ==
# Grate [[potato]]es and [[Onion]] together. 
# Add [[flour]] and [[egg]]. 
# Add [[salt]] and [[pepper]] to taste. 
# Mix well. 
# In fry pan add enough [[oil]] to coat pan. 
# Place 1 heaping tablespoon of mixture in pan and spread out. 
# Cook until crisp and then turn over. 
# Place on paper towel to remove grease.
",8,33
3387,"Mozzarella, Tomato and Basil Salad","
* 4 large [[tomato]]es
* 2 cups [[mozzarella]] cheese
* 8 ‰ÛÒ 10 leaves fresh [[basil]]
* 4 tablespoons extra-virgin [[olive oil]]
* [[salt]] and [[pepper]]
","== Directions ==
# Slice [[tomato]]es and [[mozzarella]] [[cheese]] same thickness.
# Arrange the [[tomato]]es, [[mozzarella]], and [[basil]] alternating in a circle around a decorative serving dish.
# Drizzle with [[olive oil]].
# Serve with [[salt]] and [[pepper]] to individual taste.
",4,34
3512,Kam Ja Jo Lim,"
* 1 [[potato]] (14 oz), cut into bite size
* å_ [[green bell pepper]], cut into bite size
* å_ [[red bell pepper]], cut into bite size
* 3 tbsp [[vegetable oil]]
* 1å_ tbsp [[soy sauce]]
* 2 tbsp [[granulated sugar|sugar]]
* 1 tbsp [[water]]
* å_ tsp [[salt]]
* 1 tsp [[sesame seed]]s
","== Directions ==
# Peel the [[potato]], wash, cut in half in lengthwise, put flat side down, cut into 1 inch pieces.
# Prepare the [[bell pepper]]s as the same way.
# Heat the pan on a high flame with some [[vegetable oil]], add [[Potato]], stir fry for 3-4 minutes.
# Add [[bell pepper]]s, cook for 2 minutes.
# Season with soy sauce, [[granulated sugar|sugar]], [[water]] and [[salt]].
# If it boils, reduce low, cover the lid, cook for another 2-3 minutes or until the [[Potato]] gets tender.
# Transfer the a dish, garnish with some [[sesame seed]]s.
",7,35
3560,Impossibly Easy French Apple Pie,"
;Streusel
* 1/2 cup baking mix (Bisquick)
* 1/4 cup [[nuts]], chopped
* 1/4 cup [[brown sugar]], packed
* 2 tablespoons [[butter]] or [[margarine]] (cold)
;Pie
* 3 cups [[Apple]]s, sliced and peeled
* 1 teaspoon ground [[cinnamon]]
* 1/4 teaspoon ground [[nutmeg]]
* 1/2 cup baking mix (Bisquick)
* 1/2 cup [[Granulated sugar|Sugar]]
* 1/2 cup [[milk]]
* 1 tablespoon [[butter]] or [[margarine]], softened
* 2 [[egg]]s
","== Directions ==
# Make streusel by stirring 1/2 cup baking mix, [[brown sugar]], [[nuts]], and the cold [[butter]] together until crumbly.
# Heat oven to 325&amp;nbsp;å¡F.
# Grease 9-inch pie plate.
# Stir together [[Apple]]s, [[cinnamon]] and [[nutmeg]]; place in pie plate.
# Stir remaining ingredients except streusel until blended.
# Pour into pie plate on top of the [[Apple]] mixture.
# Sprinkle with streusel.
# Bake 40 to 45 minutes or until knife inserted in center comes out clean.
# Cool 5 minutes.
# Cover and refrigerate any remaining pie.
__NOTOC__
",10,36
3592,Kate's Pineapple Panini Treat,"
* 2 slices of a nice multi-grain bread
* 1 slice [[cheddar]] cheese
* 1-2 slices [[ham]]
* fresh [[pineapple]] chunks
","== Directions ==
# Close the sandwich up.
# Place on a preheated panini maker.
# Close the lid and give it a press.
# Cook for three minutes.
# Remove, cut in half and serve.
",5,37
3675,Whipped Chocolate Ganache Filling (or Frosting),"
* 1 cup [[flour|all-purpose flour]]
* å_ teaspoon [[salt]]
* 1 teaspoon [[baking powder]]
* 1 tablespoon [[powdered sugar]]
* 4 [[egg]] whites, at room temperature
* 1 cup skim [[milk]]
* å_ teaspoon [[vanilla extract]] or [[butter]] flavoring (optional)
","== Directions ==
# Place chopped [[chocolate]] in a medium-sized bowl.
# Heat [[heavy cream]] and [[granulated sugar|sugar]] (if using) in a large heavy saucepan over med-hi heat until it simmers gently.
# Immediately pour the hot [[cream]] over the [[chocolate]] and stir gently until the [[chocolate]] is mostly melted.
# Let stand for 15mins to be sure all [[chocolate]] is melted.
# Stir ganache gently until perfectly smooth, let cool.
# Cover and chill for at least 6 hours, preferably overnight (it must be very cold or it will curdle when it's whipped; ganache can be made up to 4 days ahead).
# When you're ready to assemble the cake (and not before), whip ganache until it's stiff enough to hold a nice shape and seems spreadable (don't overwhip; overwhipped ganache looks granular, so watch carefully).
# Spread whipped ganache immediately, as it will firm as it sits.
# Note: if using 50-60% [[bittersweet chocolate]], use 8 oz of [[chocolate]] and omit the [[granulated sugar|sugar]]; if using 60-64% [[chocolate]], use 7 oz of [[chocolate]] and omit [[granulated sugar|sugar]]; if using 66-72% [[chocolate]], use 6 oz and add the optional [[granulated sugar|sugar]] to give the ganache a bit of'lift'.
# If you're just using this as a filling, halve the recipe.
# If you're glazing the cake with a [[chocolate]] glaze, chill the filled cake for at least 1 hour (up to 2 days) before glazing.
",11,38
3743,Wiener Backhendl,"
* 3 small young [[chicken]]s, quartered or halved
* å_ cup [[flour]]
* 3 [[egg]]s, beaten
* å_ teaspoon [[salt]]
* 1 cup very dry [[breadcrumbs]]
","== Directions ==
# Lightly [[salt]] [[chicken]].
# Dredge first in [[flour]] then in [[egg]]s beaten with [[salt]], finally in bread crumbs - press on crumbs firmly with palm of hand and shake off excess.
# Fry quickly (so a good crust forms) in hot [[lard]] deep enough so [[chicken]] swims.
# Lower flame and continue frying about 15 minutes or until [[chicken]] is done.
",4,39
